,GSM590840,GSM590842,GSM590848,GSM590850,GSM590851,GSM590852,GSM590853,GSM590855,GSM590858,GSM590860,GSM590862,GSM590864,GSM590867,GSM590869,GSM590870,GSM590871,GSM590873,GSM590874,GSM590877,GSM590879,GSM590880,GSM590884,GSM590885,GSM590886,GSM590889,GSM590890,GSM590894,GSM590896,GSM590898
TM7SF3,3.87075756943663,3.7156304248025,3.89664153370813,3.97638223105188,4.26243888721744,4.04520334229758,3.89664153370813,4.53190708966433,3.75493078175561,3.88135286089017,3.73216310896256,4.05655453501671,3.88037815641451,3.89664153370813,3.89664153370813,3.92862072390999,4.18117937224132,4.15119038898493,3.74511143809367,3.72361608334056,4.50836452856291,3.71500896699989,3.87635746426685,4.06753595974682,3.63834189729698,3.84700035236477,3.69997608596811,4.00446928813888,3.73004388434263
TM9SF1,6.63959058525212,7.26569348417077,6.61778846429999,7.51547350403588,6.87823347269873,7.01284493486623,6.53299724073338,6.91695669547531,7.01776540145685,6.57990122005097,7.25608093498467,7.41913367318128,6.24304020805434,6.8585120464099,6.92597457679172,6.36756592173374,6.55003155725707,7.03811776264666,7.10937467813405,6.89699964953925,6.6451076164273,6.51109899172438,6.45920456928037,6.50355639353174,6.68909788861902,7.95009084573736,6.82880277394055,7.21658476757825,8.16996701615233
TM9SF2,6.3984107249986,8.30191795919055,9.39473806126883,9.27335233976436,9.84546624649402,8.59080199596805,8.27729072395018,9.18325268010403,9.46762747803466,8.34943086037935,8.60517383356193,8.92536286414432,6.89194204492697,8.65723532766864,9.1730326515583,8.26971558667004,8.9054714220648,10.6443603286067,11.2768094376075,9.02756213814508,8.15348238925755,9.03397488355717,8.71977585334869,8.38896650768466,8.5371941052866,8.51476395857124,8.36567591053528,9.07027973036625,9.44728647716466
TM9SF3,5.59895990501674,6.6526328147635,7.39844249906499,7.36625548603533,7.74545989511403,7.00276874345415,7.24632770491064,6.8037088655749,7.70328253699548,6.58534815328633,7.70586797723985,9.03207412228507,7.31548380373692,7.43951818673171,7.13185465002392,6.38122020757578,8.38763556376095,7.99015442825748,7.22515997793544,6.69528008113857,6.42041037249147,7.45346154794588,7.24207284469193,8.8613290661227,8.07830922419618,7.57040239124041,6.94840141795975,7.55373827124454,8.59765344459493
TM9SF4,7.35899757406249,7.6194524696247,7.84871152959104,7.73010529711884,7.69639065517634,7.43969733775944,7.57136959676655,7.43969733775944,7.55488075890996,7.4940965869229,7.3580640917789,7.20528928375846,7.29998940386058,7.18043339350814,6.83193687050873,7.56104944577606,7.49562416602415,7.36474170455734,7.68040332972628,7.52142189461117,6.96685506631931,7.22545571529917,6.97658303792058,7.48271032014037,7.31316043462075,7.43544173521815,7.58530040576124,7.05430303968541,7.68622846922143
TMA16,3.20376423385293,3.3598448516834,3.47498459905455,3.20578254539396,3.50194188853107,3.21903856622749,3.37256744086588,3.59540330143759,3.54495345783839,3.42768334465794,3.29448470477148,3.8971931180699,3.42155115277713,3.39215620472852,3.244451553266,3.36269375649751,3.56670530775449,3.51837157726243,3.4476141336868,3.22019051013513,3.12850115520865,3.26214644767028,3.3367814035762,3.61500255604841,4.06364033510004,3.41444118163379,3.2670682515642,3.49379664888607,3.17096380996935
TMA7,8.88130573898621,10.7017880537915,10.3750350798874,10.4405894465079,10.1874942255942,10.479040325082,10.5119122857664,10.3985462117791,9.96669830066999,10.5515281958072,10.8195530215514,10.6744924543011,10.7522492844758,10.5644049027145,10.6748187725466,10.4803129095331,11.0827107864007,9.77558965538327,11.6327299793675,11.0371493507663,10.8593491289988,10.7165137699482,10.8988520675934,10.8665639127482,10.9988933902341,10.5824333893534,10.4458887619731,11.2963658786657,11.3998414729753
TMBIM1,6.2867119887478,6.37429190905311,6.86299617541578,6.39019752605942,6.5784450314573,6.43033830549032,6.337398418228,5.79046180225497,6.3549144738938,6.37541497866782,6.67446150750523,6.63741327037663,6.337398418228,6.10852543773258,6.36740537399558,6.67676999986515,6.00684803847343,6.47727193135258,5.6959694032476,6.64738126921009,5.99363134429773,6.43923443489931,6.30831983118317,7.24518737475927,6.1916201239554,6.37141206407352,6.17205232308782,6.17544174817525,6.28954355417516
TMBIM4,6.54283864906672,5.37388808331718,6.7470364214693,6.51568772126607,6.0740466829409,6.55730658617047,5.98056587738461,6.61259720993445,7.32653629567232,6.4084478812548,6.55298252246353,6.90649389174105,6.90013080503583,6.07839243284872,6.87754977148269,6.55850453149009,6.54767823819184,5.82153742555163,5.77759082481223,6.47107079250258,6.60116148774652,6.41610234841408,6.22202364762465,6.2451330119727,6.23821061159128,5.98281049554188,5.99009445165662,5.83071582826088,7.82202325897551
TMBIM6,8.46406861373844,10.1179492487361,9.33411416521515,9.34481683182353,10.1808372600243,9.18399988900809,9.97416772774504,9.18172409641052,10.6022721520929,9.41661631137876,10.4198333110748,10.7369169096051,9.87014726019567,9.69895827200537,9.7472255787914,9.35031807388579,9.25087925590554,9.66277891019988,9.67060784061552,9.10886339112146,8.96316354971686,9.37022349791586,9.75561559071849,9.2191874687004,9.70092323029977,10.4538872272402,9.94920127483755,9.85537776672722,11.3266258481232
