,GSM4171496,GSM4171497,GSM4171499,GSM4171514,GSM4171517,GSM4171521,GSM4171522,GSM4171524,GSM4171527,GSM4171530,GSM4171531,GSM4171535,GSM4171536,GSM4171541,GSM4171543,GSM4171546,GSM4171560,GSM4171564,GSM4171572,GSM4171574,GSM4171578,GSM4171584
KIAA0408,2.46206842619929,2.35934075507205,2.33975474969692,2.37242678844072,2.3618841852943,2.29533348078537,2.18814920927562,2.15542648391049,2.28133217129673,2.19367516910814,2.46193377546059,2.29796702656618,2.24198796118162,2.4628367844126,2.220989462042,2.42977521494102,2.56397554512844,2.57292431646252,2.39654205870556,2.1774687276573,2.54058239799928,2.5089513011668
KIAA0513,5.90196733408113,5.87062239623741,5.68339858294449,6.53394786853523,6.44462816482809,5.92906694687724,5.97469629032258,6.31041304121463,7.48025594266045,5.88065165603741,6.10908715005144,5.85152972553159,5.99489531704346,5.95954527673687,7.07588190946574,6.92971430606079,7.27817885188088,6.15539696111119,6.22361316230544,6.37059912101101,6.16630497273896,5.93380257074574
KIAA0586,6.61563956125125,6.21319454601484,5.83173562763179,6.13345085791492,5.8058602871828,6.04192470786407,6.333017521508,5.98118837054033,6.88558817788911,5.97764468806151,6.20231221543231,6.00086070468792,5.99512360884052,5.96448890716715,5.82380865248573,5.98774854689882,6.23561641977339,6.33657721449013,6.14118473583529,6.59948818373042,5.93952883688706,5.87745294525546
KIAA0753,6.66693833034662,8.48225618887158,7.17193151289249,7.43490117979578,6.59080663280856,6.71204687517566,7.48712881679734,7.41853904047201,6.50395075935219,7.07472687936694,6.74286167039576,6.65664338038721,7.22883552004433,7.8017625024528,7.05050272461454,6.67885345780332,6.92058944307794,7.11508311098314,6.30737851173469,6.84190103435128,6.28338663174775,7.41680836747602
KIAA0825,3.0925996459317,2.78487358572942,2.85491631686379,2.81354604705823,2.93544604268382,3.11305521225609,2.92739158639189,2.95504069598752,2.87624195008347,2.91858326553199,3.10150328296879,3.26130638301168,2.86534751191125,2.78295825376368,2.77436684545866,2.93823607124222,2.99977563243637,3.1074517641523,3.033735060115,2.84371649165002,2.78295825376368,2.78357678566768
KIAA0930,8.82334333191035,8.89788087581932,8.57752570131775,9.0477884484452,8.73430346297546,8.60453703306207,8.49296729249597,9.01165146456998,8.26201477035364,8.18373984078882,7.76029934821696,8.61087651648531,7.76351725063754,8.05852320192906,8.76342523721429,9.54363819924109,8.80945718191669,8.78011294385716,9.19451197817124,9.19371245944596,8.61580824767835,8.21594359159457
KIAA1143,8.76596597618762,8.35023125610217,8.64446839014009,8.4228262152715,7.69396048227704,7.98514989978706,8.29671142025334,8.92195575336787,8.62362329461199,8.87823602919548,7.50524079394521,9.19779391326894,8.9447842316349,8.50668462431209,7.39714483153763,8.56498702938992,7.70439157488089,8.55762008739874,7.86235596754402,7.7016520108235,8.77922294991724,9.29843668382058
KIAA1191,8.37870735443285,9.16489166943056,9.27150135960836,8.65667160697552,9.02182303907106,8.75303104074225,8.82121194947131,9.22967123232836,9.56468130979194,8.75930599821771,8.5566342347145,9.35652163287267,9.0164241167418,9.66279788026293,9.87630552981268,8.88194360475102,9.16620455845702,9.16814420969335,8.76286881912453,9.40485822944526,9.08498207834252,9.51681418743506
KIAA1191P2,3.11919509753754,3.40837093000484,3.19369391422708,3.35083134328358,3.32844226644287,3.44862261756015,3.16270449016285,3.49352085606115,3.2881783539836,3.27724148859578,3.52291893776057,3.45048689328682,3.3830499241391,3.43327131780451,3.07360776891009,3.40701034839418,3.28254665919697,3.60304438392029,3.63600425947943,3.2901397837146,3.38199479793183,3.44776418953812
KIAA1210,2.1836589714526,2.41442498652335,2.53964163130025,2.49690730894403,3.48664500753098,2.21973400606087,2.30499401010552,2.30492845456646,2.67782385975986,5.39210287118498,3.56337742291154,3.92307157253959,2.38630779966312,2.34776810584166,2.35974688359413,2.47232566870336,2.37431814204862,2.2025642876905,2.50505732649049,2.21384324698614,2.31516012168894,2.40054849813687
KIAA1217,8.27339990869819,7.46527659249948,7.9118001732399,7.89054486913933,7.89642079990951,7.72317801522766,8.0165635660565,8.16799251559585,8.10928841619417,8.07898816051425,6.45348437493723,7.47154762215544,7.27381059916226,7.79070179835998,8.20573048077658,7.54563411624811,8.74697312791812,7.90518641272701,6.73122285969088,8.16164573141846,7.22344824207133,8.7207438352501
