,GSM713198,GSM713199,GSM713200,GSM713201,GSM713202,GSM713203,GSM713204,GSM713205,GSM713206,GSM713207,GSM713208,GSM713209,GSM713210,GSM713211,GSM713212,GSM713213,GSM713214,GSM713215,GSM713216,GSM713217,GSM713218,GSM713219,GSM713220,GSM713221
NCKAP5L,4.73262212112382,4.72862514590388,3.70101195886596,3.34824625432624,3.09943341371132,3.12480210113427,3.96796223694477,3.82219501174528,4.03302545648674,4.20875862840069,3.71649071341195,3.31605225203322,3.84812501222927,4.32899831267195,4.35058172020722,3.95923357488415,4.12568373071825,4.02441322158739,3.64607085165741,3.9238763416499,5.23269701674305,4.65575870423015,4.16209927445483,4.12215459252758
NCKIPSD,5.54619285955551,6.36511319740507,6.13558133070197,5.92470382586199,6.02382985383176,6.33899352982003,6.95379594774871,7.50312680006124,6.13914637661831,6.35727385223096,6.9564527601406,7.25616550276724,6.38536112114628,6.92174563363004,6.73589411256518,6.3738633651395,6.40090821401624,6.55149748784784,6.95294360263724,7.02331472992364,7.18378332751924,6.90530969997133,6.58661864344035,6.53855736080157
NCL,8.99993912518812,9.10437725894476,10.0154757069878,10.0443309416327,9.53545886080557,9.5355145675704,10.1326128717665,10.2778948932615,8.70029906840075,8.79592544734513,9.94204836950944,9.90519692886426,9.07257188668643,8.9949908080582,9.37855287419138,9.31163128272843,9.7005391212833,9.6392363285239,9.79016834605136,9.86327879202093,9.00757345093449,9.23762878889833,9.86146012264403,9.71543845765422
NCLN,5.39825537613866,6.26069866451765,5.55940388070336,5.4310137664545,5.48501104450644,5.90748192499639,5.42257929503698,5.6392328621384,5.00159083819874,4.66072384751736,5.42750864581802,5.27189238836012,5.4342413446357,5.5351330100615,5.22929037814364,5.42793281711822,5.52785615034661,6.04664188957252,6.26736237839368,6.49711345474898,5.99144976587806,5.9424071529831,5.95296811540562,6.26347521330285
NCOA1,8.6457381762322,8.78270352792182,8.4785826018392,8.35980826967383,8.00340143646554,8.14647647985229,7.94406142976606,8.04881170965011,8.93957067033021,8.83274370363711,8.99452030435009,8.76706577138122,9.00691496219805,8.8905592416568,9.5613923133723,9.31191908052221,8.55467706396916,8.68216580844745,8.19329745448146,8.25205238810551,9.3716933854857,9.40588722870229,9.38680777279208,9.32429679082554
NCOA2,9.53651139470474,9.08731667082192,9.17826955427953,9.31737018904823,9.52795888966953,9.32927233890003,10.4050732946684,10.2065697287282,9.39135384842525,9.7149636830386,8.7652709261664,8.7914242008774,9.79912903320412,10.0158630703914,10.0637789454897,9.80268093695026,9.50825822619082,9.5057479430924,9.7292943141122,9.71581739431942,9.29471070920839,9.61495321947517,9.50439258515045,9.35854957626627
NCOA3,10.4302440046397,10.115958875634,10.0810097864831,10.2126794442756,10.1912247265851,10.0279284621252,9.95879252583152,9.85232554760813,10.0815309959522,10.3789290087628,9.80459394428062,9.76829347912946,10.8455959963163,10.8644803492147,10.1014670095919,9.99941631516065,10.7335960078101,10.5045476706836,10.3921582657167,10.398018594311,10.5259728014166,10.4920218193907,10.2600395088279,10.170362001171
NCOA4,10.0585597044861,9.84518881597105,10.6019911931608,10.6873140033839,10.5169960828137,10.4155466285612,10.880040662971,10.9133691001332,10.8173761945632,10.7468168170383,10.6257572685406,10.4944883600399,10.3228712190393,10.3439824161839,9.99696854593645,9.98102767046303,10.3670099144371,10.3787928071362,10.8027771748756,10.8090280338457,10.0465535662669,10.2661468510456,10.3928938387803,10.3363363991385
NCOA5,9.9206879587346,9.92197254000697,9.84797562327132,10.0046362443516,9.78816652239557,9.6110932232666,9.7784758255683,9.76257491278554,9.782419856103,9.63533194245121,9.20697856536853,9.21365457366492,10.0994579264245,9.86860874799452,9.43192499551427,9.64042218453595,9.96714853714294,9.98135263195825,9.77844172907507,9.8438147707753,9.2093502172096,9.53262457779738,9.64748226008725,9.75286393559291
NCOA6,10.0012878823585,10.1646311246205,10.0011020154504,9.99342133630898,9.89040472360397,10.0447685787465,9.28623155316821,9.77807967750359,9.73760535110222,9.4835594295078,9.26365273490952,9.27115955814145,10.497012161654,10.4217113321761,10.0070464839432,9.82906509675526,9.84290562232807,9.90952059228688,9.61640642645252,9.41352950602209,9.38303733501867,9.2648345777875,9.66909873797429,9.8202821937601
NCOA7,8.46963046536407,8.61783772618733,8.21783457566357,8.35412791981174,9.95866928107308,10.0370729800611,10.1506589912755,10.605031180365,7.9351380751972,8.17290343044094,10.072936375852,9.99437028024342,7.0637681146673,7.45646707118164,10.1494345120044,10.2647682981713,8.27505860103263,8.36319528343505,7.47644723321722,7.41943382337518,9.21212655253585,9.1107533846207,9.7765548358478,9.65950946129627
NCOR1,8.0156181997477,7.70421914223084,8.13130469046671,8.30441286373597,8.38536260778707,8.42660650452498,8.1040139112651,7.51889738957599,8.21195726722197,8.22125344113027,7.8371526349233,7.85198066944033,8.52376509175462,8.27925886139834,8.71776407105625,8.72001315054594,7.92676302159547,7.95018985226034,8.25789245244875,8.1190551792782,7.63805036982354,7.7030067057386,7.82043326010767,7.62060842669678
NCOR2,9.65913930461427,10.0487442396591,10.2125336784426,9.85636314313759,9.61274220008467,9.78195412679495,9.53274014761003,9.35132435582298,10.4199253436593,10.137078660075,9.66073618397765,9.63583214053677,9.72617454194396,10.0634842713367,9.8795840979174,9.9989079940318,9.48133501382997,9.54289812856416,9.86940007751981,9.87908581232273,10.6238165125909,10.4329171955961,10.2464541088391,10.2897658870731
NCR1,2.38749585597926,2.21880286592896,1.91411712771476,1.92699212909231,2.104145761501,1.99802871226938,2.46061365898326,2.33080616065788,2.01554856793257,2.00254843670692,2.14404979231538,1.96223300149759,2.01337227434376,1.98613078645579,1.88334825234726,1.96813435848576,2.68742713588092,2.00805962929096,1.85653587523101,2.03460773490413,2.2224335148837,2.6186125307844,2.36790716229981,2.06901087957185
NCR2,3.03632762273328,3.31852376114688,3.00821403237527,3.26270810560456,3.12257826895761,3.20844710146291,4.10189289788646,3.44781091979872,3.21211084175136,3.02097134225897,3.281811161624,3.15467978884928,3.45425229724334,3.45001569676408,3.35232023688027,3.35580022673092,3.32463549528496,2.99092418636885,2.87151331370039,3.20659535810518,3.58835543579552,3.24888395545477,3.20022323300467,3.21549245075331
NCR3,1.64347495763933,1.75671076014533,1.68548167046401,1.82438156254055,2.12989496143796,1.82023535838135,2.31543168290856,1.81917108807695,1.80116589773465,1.5858566771879,1.8569310316413,1.82632786220596,1.7744808998912,1.4639387117453,1.79480050667031,1.74953114697103,1.96024461114654,1.92993286553433,1.52191540075363,1.69421656754881,2.14043348654028,1.93193648969727,2.0546028367526,1.6502854244518
NCR3LG1,4.65118392173635,5.45821335419416,8.25113951415354,8.05005046124179,7.49140947826783,7.72898268198547,2.83261108163935,3.76117078342512,5.37135714493107,5.51686898999141,5.76211888358265,5.81922038174926,5.06253829296169,5.52905687926209,5.86595246254711,6.21058080609581,4.29408578774912,4.48324640203916,4.94640124879589,5.07033318749672,5.10792638833127,4.92514512957669,7.64201864161436,7.59891628691038
NCS1,5.50047144975696,5.46742018656029,4.74503727657055,5.00450782294471,5.19865154113047,5.69532943993339,6.219210232193,6.75722218999006,4.40735185193569,4.10038494603696,5.81133285089026,5.9771328542422,5.120488063499,4.94888948664764,4.40971671371863,4.57112803513547,5.44634999123423,6.04682907535137,5.95440601494296,5.57980640003326,5.59505527367793,5.79936588277441,5.51124306640097,5.1785735367075
NCSTN,6.67429623405162,6.5627381089794,6.67539348224358,7.04164605652591,6.8073921648927,6.96108163496456,8.37206877525605,7.49154188330489,6.87493936707157,6.46795367855941,6.30777303172959,6.99381843438824,6.79119120650276,6.82269356234278,6.07786857985769,5.89896092242251,6.90432862722961,7.01888971791982,6.52951055269127,6.47023367206398,6.87609813941076,6.59567031062869,6.74751703667302,6.62442395196145
ND2,11.6985806662356,11.7698330082049,11.9410841467754,12.0122554823048,11.962585636547,11.7940371882899,11.8372767343327,11.718174182635,11.669123616929,11.894145501788,12.0860105910543,11.8907480630787,12.0880478008726,12.143516883906,12.0305972722922,12.1358176814731,11.7711539170058,11.89774753846,11.9639160433134,11.9621751726753,12.094602478416,12.0674802292499,11.9942118444424,11.6719833850012
ND3,11.4893439443958,11.283518861969,11.6987972124539,11.742948545252,11.6797930827942,11.4714978220655,11.4311110383855,11.3375892526276,11.5702195023672,11.8177267591648,11.6159019604715,11.5368295142787,11.7850922896935,11.9432117534127,12.0630683249488,11.9493815506994,11.5606227033696,11.5824985430211,11.6970633943759,11.782103566227,11.6819166402837,11.693050347203,11.5885634036397,11.1337144167018
